#           k/h    P           
    0.12865E+03    0.21976E-03
    0.12994E+03    0.21359E-03
    0.13125E+03    0.20760E-03
    0.13257E+03    0.20177E-03
    0.13390E+03    0.19610E-03
    0.13524E+03    0.19058E-03
    0.13660E+03    0.18522E-03
    0.13798E+03    0.18000E-03
    0.13936E+03    0.17492E-03
    0.14076E+03    0.16999E-03
    0.14218E+03    0.16519E-03
    0.14361E+03    0.16052E-03
    0.14505E+03    0.15598E-03
    0.14651E+03    0.15157E-03
    0.14798E+03    0.14727E-03
    0.14947E+03    0.14310E-03
    0.15097E+03    0.13904E-03
    0.15249E+03    0.13509E-03
    0.15402E+03    0.13125E-03
    0.15557E+03    0.12751E-03
    0.15713E+03    0.12388E-03
    0.15871E+03    0.12035E-03
    0.16030E+03    0.11692E-03
    0.16192E+03    0.11358E-03
    0.16354E+03    0.11033E-03
    0.16519E+03    0.10718E-03
    0.16685E+03    0.10411E-03
    0.16852E+03    0.10112E-03
    0.17022E+03    0.98218E-04
    0.17193E+03    0.95397E-04
    0.17366E+03    0.92653E-04
    0.17540E+03    0.89985E-04
    0.17716E+03    0.87391E-04
    0.17894E+03    0.84870E-04
    0.18074E+03    0.82418E-04
    0.18256E+03    0.80035E-04
    0.18439E+03    0.77718E-04
    0.18625E+03    0.75465E-04
    0.18812E+03    0.73275E-04
    0.19001E+03    0.71146E-04
    0.19192E+03    0.69077E-04
    0.19385E+03    0.67065E-04
    0.19580E+03    0.65110E-04
    0.19776E+03    0.63209E-04
    0.19975E+03    0.61362E-04
    0.20176E+03    0.59566E-04
    0.20379E+03    0.57821E-04
    0.20583E+03    0.56124E-04
    0.20790E+03    0.54476E-04
    0.20999E+03    0.52873E-04
    0.21210E+03    0.51316E-04
    0.21424E+03    0.49803E-04
    0.21639E+03    0.48332E-04
    0.21856E+03    0.46902E-04
    0.22076E+03    0.45514E-04
    0.22298E+03    0.44164E-04
    0.22522E+03    0.42853E-04
    0.22748E+03    0.41578E-04
    0.22977E+03    0.40340E-04
    0.23208E+03    0.39137E-04
    0.23441E+03    0.37968E-04
    0.23677E+03    0.36833E-04
    0.23915E+03    0.35730E-04
    0.24155E+03    0.34658E-04
    0.24398E+03    0.33617E-04
    0.24643E+03    0.32606E-04
    0.24891E+03    0.31623E-04
    0.25141E+03    0.30669E-04
    0.25393E+03    0.29742E-04
    0.25649E+03    0.28842E-04
    0.25906E+03    0.27967E-04
    0.26167E+03    0.27118E-04
    0.26430E+03    0.26293E-04
    0.26695E+03    0.25492E-04
    0.26964E+03    0.24715E-04
    0.27235E+03    0.23959E-04
    0.27508E+03    0.23226E-04
    0.27785E+03    0.22514E-04
    0.28064E+03    0.21822E-04
    0.28346E+03    0.21151E-04
    0.28631E+03    0.20499E-04
    0.28919E+03    0.19866E-04
    0.29209E+03    0.19252E-04
    0.29503E+03    0.18655E-04
    0.29799E+03    0.18076E-04
    0.30099E+03    0.17514E-04
    0.30401E+03    0.16969E-04
    0.30707E+03    0.16439E-04
    0.31016E+03    0.15925E-04
    0.31327E+03    0.15426E-04
    0.31642E+03    0.14942E-04
    0.31960E+03    0.14472E-04
    0.32281E+03    0.14016E-04
    0.32606E+03    0.13573E-04
    0.32933E+03    0.13144E-04
    0.33264E+03    0.12727E-04
    0.33599E+03    0.12323E-04
    0.33936E+03    0.11931E-04
    0.34278E+03    0.11550E-04
    0.34622E+03    0.11181E-04
    0.34970E+03    0.10823E-04
    0.35321E+03    0.10476E-04
    0.35676E+03    0.10139E-04
    0.36035E+03    0.98120E-05
    0.36397E+03    0.94950E-05
    0.36763E+03    0.91877E-05
    0.37132E+03    0.88896E-05
    0.37506E+03    0.86005E-05
    0.37882E+03    0.83203E-05
    0.38263E+03    0.80486E-05
    0.38648E+03    0.77852E-05
    0.39036E+03    0.75300E-05
    0.39429E+03    0.72827E-05
    0.39825E+03    0.70431E-05
    0.40225E+03    0.68109E-05
    0.40629E+03    0.65861E-05
    0.41038E+03    0.63683E-05
    0.41450E+03    0.61574E-05
    0.41867E+03    0.59532E-05
    0.42287E+03    0.57555E-05
    0.42712E+03    0.55641E-05
    0.43142E+03    0.53788E-05
    0.43575E+03    0.51995E-05
    0.44013E+03    0.50260E-05
    0.44455E+03    0.48581E-05
    0.44902E+03    0.46956E-05
    0.45354E+03    0.45384E-05
    0.45809E+03    0.43864E-05
    0.46270E+03    0.42393E-05
    0.46735E+03    0.40971E-05
    0.47205E+03    0.39595E-05
    0.47679E+03    0.38265E-05
    0.48158E+03    0.36978E-05
    0.48642E+03    0.35735E-05
    0.49131E+03    0.34533E-05
    0.49625E+03    0.33370E-05
    0.50123E+03    0.32247E-05
    0.50627E+03    0.31161E-05
    0.51136E+03    0.30112E-05
    0.51650E+03    0.29098E-05
