#           k/h    P           
    0.22646E-03    0.96794E+03
    0.22874E-03    0.97732E+03
    0.23104E-03    0.98679E+03
    0.23336E-03    0.99635E+03
    0.23571E-03    0.10060E+04
    0.23807E-03    0.10157E+04
    0.24047E-03    0.10256E+04
    0.24288E-03    0.10355E+04
    0.24533E-03    0.10455E+04
    0.24779E-03    0.10557E+04
    0.25028E-03    0.10659E+04
    0.25280E-03    0.10762E+04
    0.25534E-03    0.10866E+04
    0.25790E-03    0.10972E+04
    0.26050E-03    0.11078E+04
    0.26311E-03    0.11185E+04
    0.26576E-03    0.11293E+04
    0.26843E-03    0.11403E+04
    0.27113E-03    0.11513E+04
    0.27385E-03    0.11625E+04
    0.27660E-03    0.11737E+04
    0.27938E-03    0.11851E+04
    0.28219E-03    0.11965E+04
    0.28503E-03    0.12081E+04
    0.28789E-03    0.12198E+04
    0.29079E-03    0.12316E+04
    0.29371E-03    0.12435E+04
    0.29666E-03    0.12555E+04
    0.29964E-03    0.12677E+04
    0.30265E-03    0.12799E+04
    0.30569E-03    0.12923E+04
    0.30877E-03    0.13048E+04
    0.31187E-03    0.13174E+04
    0.31500E-03    0.13302E+04
    0.31817E-03    0.13430E+04
    0.32137E-03    0.13560E+04
    0.32460E-03    0.13691E+04
    0.32786E-03    0.13824E+04
    0.33115E-03    0.13957E+04
    0.33448E-03    0.14092E+04
    0.33784E-03    0.14228E+04
    0.34124E-03    0.14366E+04
    0.34467E-03    0.14504E+04
    0.34813E-03    0.14645E+04
    0.35163E-03    0.14786E+04
    0.35517E-03    0.14929E+04
    0.35874E-03    0.15073E+04
    0.36234E-03    0.15218E+04
    0.36598E-03    0.15365E+04
    0.36966E-03    0.15514E+04
    0.37338E-03    0.15663E+04
    0.37713E-03    0.15815E+04
    0.38092E-03    0.15967E+04
    0.38475E-03    0.16121E+04
    0.38861E-03    0.16277E+04
    0.39252E-03    0.16434E+04
    0.39646E-03    0.16592E+04
    0.40045E-03    0.16752E+04
    0.40447E-03    0.16914E+04
    0.40854E-03    0.17077E+04
    0.41264E-03    0.17241E+04
    0.41679E-03    0.17407E+04
    0.42098E-03    0.17575E+04
    0.42521E-03    0.17745E+04
    0.42948E-03    0.17915E+04
    0.43380E-03    0.18088E+04
    0.43816E-03    0.18262E+04
    0.44256E-03    0.18438E+04
    0.44701E-03    0.18616E+04
    0.45150E-03    0.18795E+04
    0.45604E-03    0.18976E+04
    0.46063E-03    0.19158E+04
    0.46525E-03    0.19342E+04
    0.46993E-03    0.19529E+04
    0.47465E-03    0.19716E+04
    0.47942E-03    0.19906E+04
    0.48424E-03    0.20097E+04
    0.48911E-03    0.20290E+04
    0.49402E-03    0.20485E+04
    0.49899E-03    0.20682E+04
    0.50400E-03    0.20881E+04
    0.50907E-03    0.21081E+04
    0.51419E-03    0.21284E+04
    0.51935E-03    0.21488E+04
    0.52457E-03    0.21694E+04
    0.52985E-03    0.21903E+04
    0.53517E-03    0.22113E+04
    0.54055E-03    0.22325E+04
    0.54598E-03    0.22539E+04
    0.55147E-03    0.22755E+04
    0.55701E-03    0.22973E+04
    0.56261E-03    0.23193E+04
    0.56826E-03    0.23415E+04
    0.57397E-03    0.23640E+04
    0.57974E-03    0.23866E+04
    0.58557E-03    0.24094E+04
    0.59145E-03    0.24325E+04
    0.59740E-03    0.24558E+04
    0.60340E-03    0.24793E+04
    0.60947E-03    0.25030E+04
    0.61559E-03    0.25269E+04
    0.62178E-03    0.25511E+04
    0.62803E-03    0.25754E+04
    0.63434E-03    0.26000E+04
    0.64072E-03    0.26249E+04
    0.64715E-03    0.26499E+04
    0.65366E-03    0.26752E+04
    0.66023E-03    0.27007E+04
    0.66686E-03    0.27265E+04
    0.67357E-03    0.27525E+04
    0.68033E-03    0.27787E+04
    0.68717E-03    0.28052E+04
    0.69408E-03    0.28319E+04
    0.70105E-03    0.28589E+04
    0.70810E-03    0.28861E+04
    0.71522E-03    0.29136E+04
    0.72240E-03    0.29413E+04
    0.72966E-03    0.29693E+04
    0.73700E-03    0.29975E+04
    0.74440E-03    0.30260E+04
    0.75189E-03    0.30547E+04
    0.75944E-03    0.30837E+04
    0.76708E-03    0.31130E+04
    0.77478E-03    0.31425E+04
    0.78257E-03    0.31723E+04
    0.79044E-03    0.32024E+04
    0.79838E-03    0.32328E+04
    0.80640E-03    0.32634E+04
    0.81451E-03    0.32943E+04
    0.82269E-03    0.33255E+04
