# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
6.3580e-03 1.2524e+04 6.3660e+00 -3.2924e+00 2.5089e+04 1.2391e+04 -4.1300e-01 8.3936e+02 7.4398e+00 5.1547e+00 3.6801e+00 2.2106e+03 1.4583e+03 0.0000e+00 0.0000e+00
6.6189e-03 1.2827e+04 7.0664e+00 -3.6352e+00 2.5684e+04 1.2691e+04 -4.0139e-01 8.3925e+02 8.0782e+00 5.4767e+00 3.9169e+00 2.2081e+03 1.4556e+03 0.0000e+00 0.0000e+00
6.8904e-03 1.3128e+04 7.8366e+00 -4.0087e+00 2.6277e+04 1.2992e+04 -3.8234e-01 8.3914e+02 8.7720e+00 5.8109e+00 4.1638e+00 2.2054e+03 1.4527e+03 0.0000e+00 0.0000e+00
7.1732e-03 1.3426e+04 8.6823e+00 -4.4147e+00 2.6865e+04 1.3293e+04 -3.5440e-01 8.3901e+02 9.5259e+00 6.1565e+00 4.4206e+00 2.2025e+03 1.4496e+03 0.0000e+00 0.0000e+00
7.4675e-03 1.3720e+04 9.6092e+00 -4.8555e+00 2.7447e+04 1.3594e+04 -3.1586e-01 8.3887e+02 1.0345e+01 6.5124e+00 4.6869e+00 2.1994e+03 1.4463e+03 0.0000e+00 0.0000e+00
7.7739e-03 1.4009e+04 1.0623e+01 -5.3333e+00 2.8021e+04 1.3892e+04 -2.6485e-01 8.3872e+02 1.1236e+01 6.8773e+00 4.9620e+00 2.1961e+03 1.4427e+03 0.0000e+00 0.0000e+00
8.0928e-03 1.4291e+04 1.1730e+01 -5.8503e+00 2.8586e+04 1.4187e+04 -1.9913e-01 8.3856e+02 1.2203e+01 7.2497e+00 5.2452e+00 2.1925e+03 1.4390e+03 0.0000e+00 0.0000e+00
8.4249e-03 1.4566e+04 1.2936e+01 -6.4087e+00 2.9137e+04 1.4477e+04 -1.1622e-01 8.3838e+02 1.3255e+01 7.6276e+00 5.5355e+00 2.1886e+03 1.4350e+03 0.0000e+00 0.0000e+00
8.7706e-03 1.4832e+04 1.4246e+01 -7.0105e+00 2.9674e+04 1.4761e+04 -1.3288e-02 8.3820e+02 1.4397e+01 8.0086e+00 5.8317e+00 2.1845e+03 1.4308e+03 0.0000e+00 0.0000e+00
9.1304e-03 1.5088e+04 1.5668e+01 -7.6573e+00 3.0193e+04 1.5037e+04 1.1290e-01 8.3799e+02 1.5638e+01 8.3901e+00 6.1324e+00 2.1801e+03 1.4263e+03 0.0000e+00 0.0000e+00
9.5051e-03 1.5333e+04 1.7207e+01 -8.3500e+00 3.0692e+04 1.5303e+04 2.6591e-01 8.3777e+02 1.6986e+01 8.7688e+00 6.4359e+00 2.1753e+03 1.4215e+03 0.0000e+00 0.0000e+00
9.8951e-03 1.5565e+04 1.8869e+01 -9.0895e+00 3.1168e+04 1.5558e+04 4.4990e-01 8.3754e+02 1.8450e+01 9.1412e+00 6.7403e+00 2.1702e+03 1.4165e+03 0.0000e+00 0.0000e+00
1.0301e-02 1.5783e+04 2.0661e+01 -9.8764e+00 3.1617e+04 1.5799e+04 6.6932e-01 8.3728e+02 2.0039e+01 9.5029e+00 7.0434e+00 2.1648e+03 1.4111e+03 0.0000e+00 0.0000e+00
1.0724e-02 1.5987e+04 2.2587e+01 -1.0712e+01 3.2038e+04 1.6026e+04 9.2936e-01 8.3700e+02 2.1764e+01 9.8495e+00 7.3426e+00 2.1590e+03 1.4055e+03 0.0000e+00 0.0000e+00
1.1164e-02 1.6174e+04 2.4655e+01 -1.1596e+01 3.2426e+04 1.6237e+04 1.2356e+00 8.3671e+02 2.3634e+01 1.0176e+01 7.6350e+00 2.1528e+03 1.3995e+03 0.0000e+00 0.0000e+00
1.1622e-02 1.6345e+04 2.6868e+01 -1.2530e+01 3.2781e+04 1.6429e+04 1.5944e+00 8.3638e+02 2.5663e+01 1.0475e+01 7.9177e+00 2.1461e+03 1.3932e+03 0.0000e+00 0.0000e+00
1.2099e-02 1.6499e+04 2.9234e+01 -1.3513e+01 3.3099e+04 1.6600e+04 2.0126e+00 8.3604e+02 2.7861e+01 1.0743e+01 8.1870e+00 2.1391e+03 1.3866e+03 0.0000e+00 0.0000e+00
1.2595e-02 1.6634e+04 3.1756e+01 -1.4544e+01 3.3378e+04 1.6751e+04 2.4979e+00 8.3566e+02 3.0242e+01 1.0970e+01 8.4392e+00 2.1316e+03 1.3797e+03 0.0000e+00 0.0000e+00
1.3112e-02 1.6749e+04 3.4439e+01 -1.5616e+01 3.3617e+04 1.6878e+04 3.0585e+00 8.3526e+02 3.2820e+01 1.1151e+01 8.6702e+00 2.1236e+03 1.3723e+03 0.0000e+00 0.0000e+00
1.3650e-02 1.6844e+04 3.7286e+01 -1.6724e+01 3.3813e+04 1.6981e+04 3.7033e+00 8.3483e+02 3.5608e+01 1.1277e+01 8.8755e+00 2.1150e+03 1.3647e+03 0.0000e+00 0.0000e+00
1.4210e-02 1.6918e+04 4.0298e+01 -1.7867e+01 3.3966e+04 1.7057e+04 4.4421e+00 8.3436e+02 3.8621e+01 1.1340e+01 9.0506e+00 2.1060e+03 1.3566e+03 0.0000e+00 0.0000e+00
1.4793e-02 1.6969e+04 4.3474e+01 -1.9044e+01 3.4072e+04 1.7106e+04 5.2854e+00 8.3386e+02 4.1875e+01 1.1331e+01 9.1906e+00 2.0964e+03 1.3482e+03 0.0000e+00 0.0000e+00
1.5400e-02 1.6995e+04 4.6812e+01 -2.0258e+01 3.4131e+04 1.7128e+04 6.2440e+00 8.3331e+02 4.5384e+01 1.1240e+01 9.2904e+00 2.0863e+03 1.3395e+03 0.0000e+00 0.0000e+00
1.6032e-02 1.6995e+04 5.0303e+01 -2.1505e+01 3.4137e+04 1.7119e+04 7.3296e+00 8.3273e+02 4.9166e+01 1.1060e+01 9.3449e+00 2.0755e+03 1.3303e+03 0.0000e+00 0.0000e+00
1.6690e-02 1.6965e+04 5.3936e+01 -2.2766e+01 3.4089e+04 1.7081e+04 8.5543e+00 8.3210e+02 5.3235e+01 1.0780e+01 9.3488e+00 2.0642e+03 1.3207e+03 0.0000e+00 0.0000e+00
1.7374e-02 1.6903e+04 5.7698e+01 -2.4020e+01 3.3979e+04 1.7013e+04 9.9305e+00 8.3143e+02 5.7609e+01 1.0391e+01 9.2971e+00 2.0522e+03 1.3108e+03 0.0000e+00 0.0000e+00
1.8087e-02 1.6806e+04 6.1568e+01 -2.5250e+01 3.3803e+04 1.6913e+04 1.1471e+01 8.3070e+02 6.2303e+01 9.8851e+00 9.1846e+00 2.0396e+03 1.3004e+03 0.0000e+00 0.0000e+00
1.8829e-02 1.6672e+04 6.5525e+01 -2.6453e+01 3.3554e+04 1.6781e+04 1.3187e+01 8.2992e+02 6.7333e+01 9.2536e+00 9.0068e+00 2.0263e+03 1.2897e+03 0.0000e+00 0.0000e+00
1.9602e-02 1.6500e+04 6.9546e+01 -2.7628e+01 3.3228e+04 1.6618e+04 1.5093e+01 8.2908e+02 7.2713e+01 8.4889e+00 8.7592e+00 2.0123e+03 1.2785e+03 0.0000e+00 0.0000e+00
2.0406e-02 1.6288e+04 7.3605e+01 -2.8755e+01 3.2822e+04 1.6423e+04 1.7200e+01 8.2818e+02 7.8458e+01 7.5844e+00 8.4381e+00 1.9977e+03 1.2669e+03 0.0000e+00 0.0000e+00
2.1243e-02 1.6039e+04 7.7681e+01 -2.9800e+01 3.2340e+04 1.6196e+04 1.9519e+01 8.2721e+02 8.4581e+01 6.5343e+00 8.0401e+00 1.9823e+03 1.2550e+03 0.0000e+00 0.0000e+00
2.2115e-02 1.5757e+04 8.1752e+01 -3.0747e+01 3.1787e+04 1.5938e+04 2.2061e+01 8.2616e+02 9.1093e+01 5.3345e+00 7.5628e+00 1.9662e+03 1.2426e+03 0.0000e+00 0.0000e+00
2.3022e-02 1.5444e+04 8.5796e+01 -3.1609e+01 3.1174e+04 1.5649e+04 2.4836e+01 8.2505e+02 9.8004e+01 3.9819e+00 7.0046e+00 1.9494e+03 1.2298e+03 0.0000e+00 0.0000e+00
2.3967e-02 1.5106e+04 8.9793e+01 -3.2393e+01 3.0511e+04 1.5330e+04 2.7850e+01 8.2384e+02 1.0532e+02 2.4753e+00 6.3646e+00 1.9319e+03 1.2166e+03 0.0000e+00 0.0000e+00
2.4950e-02 1.4745e+04 9.3721e+01 -3.3081e+01 2.9806e+04 1.4982e+04 3.1112e+01 8.2256e+02 1.1305e+02 8.1477e-01 5.6427e+00 1.9136e+03 1.2030e+03 0.0000e+00 0.0000e+00
2.5974e-02 1.4363e+04 9.7555e+01 -3.3661e+01 2.9061e+04 1.4607e+04 3.4626e+01 8.2117e+02 1.2119e+02 -9.9769e-01 4.8400e+00 1.8946e+03 1.1889e+03 0.0000e+00 0.0000e+00
2.7040e-02 1.3960e+04 1.0126e+02 -3.4121e+01 2.8275e+04 1.4209e+04 3.8394e+01 8.1969e+02 1.2974e+02 -2.9589e+00 3.9579e+00 1.8748e+03 1.1745e+03 0.0000e+00 0.0000e+00
2.8149e-02 1.3535e+04 1.0482e+02 -3.4437e+01 2.7443e+04 1.3789e+04 4.2416e+01 8.1810e+02 1.3870e+02 -5.0642e+00 2.9986e+00 1.8543e+03 1.1596e+03 0.0000e+00 0.0000e+00
2.9304e-02 1.3090e+04 1.0819e+02 -3.4600e+01 2.6568e+04 1.3353e+04 4.6691e+01 8.1640e+02 1.4807e+02 -7.3079e+00 1.9648e+00 1.8330e+03 1.1443e+03 0.0000e+00 0.0000e+00
3.0507e-02 1.2629e+04 1.1135e+02 -3.4615e+01 2.5658e+04 1.2904e+04 5.1211e+01 8.1458e+02 1.5783e+02 -9.6840e+00 8.5915e-01 1.8109e+03 1.1287e+03 0.0000e+00 0.0000e+00
3.1759e-02 1.2157e+04 1.1432e+02 -3.4488e+01 2.4730e+04 1.2447e+04 5.5971e+01 8.1263e+02 1.6797e+02 -1.2186e+01 -3.1568e-01 1.7881e+03 1.1126e+03 0.0000e+00 0.0000e+00
3.3062e-02 1.1682e+04 1.1709e+02 -3.4234e+01 2.3798e+04 1.1989e+04 6.0959e+01 8.1054e+02 1.7848e+02 -1.4809e+01 -1.5577e+00 1.7645e+03 1.0961e+03 0.0000e+00 0.0000e+00
3.4418e-02 1.1212e+04 1.1971e+02 -3.3879e+01 2.2875e+04 1.1533e+04 6.6166e+01 8.0831e+02 1.8935e+02 -1.7549e+01 -2.8653e+00 1.7401e+03 1.0792e+03 0.0000e+00 0.0000e+00
3.5830e-02 1.0753e+04 1.2220e+02 -3.3438e+01 2.1970e+04 1.1086e+04 7.1584e+01 8.0592e+02 2.0056e+02 -2.0403e+01 -4.2387e+00 1.7150e+03 1.0620e+03 0.0000e+00 0.0000e+00
3.7300e-02 1.0308e+04 1.2460e+02 -3.2930e+01 2.1093e+04 1.0653e+04 7.7205e+01 8.0338e+02 2.1211e+02 -2.3375e+01 -5.6794e+00 1.6890e+03 1.0444e+03 0.0000e+00 0.0000e+00
3.8831e-02 9.8804e+03 1.2693e+02 -3.2371e+01 2.0253e+04 1.0236e+04 8.3025e+01 8.0066e+02 2.2397e+02 -2.6467e+01 -7.1913e+00 1.6623e+03 1.0264e+03 0.0000e+00 0.0000e+00
4.0424e-02 9.4723e+03 1.2925e+02 -3.1777e+01 1.9454e+04 9.8418e+03 8.9044e+01 7.9776e+02 2.3616e+02 -2.9691e+01 -8.7806e+00 1.6348e+03 1.0082e+03 0.0000e+00 0.0000e+00
4.2083e-02 9.0867e+03 1.3163e+02 -3.1167e+01 1.8700e+04 9.4717e+03 9.5269e+01 7.9467e+02 2.4867e+02 -3.3058e+01 -1.0456e+01 1.6065e+03 9.8964e+02 0.0000e+00 0.0000e+00
4.3809e-02 8.7282e+03 1.3415e+02 -3.0557e+01 1.7998e+04 9.1290e+03 1.0171e+02 7.9138e+02 2.6150e+02 -3.6588e+01 -1.2228e+01 1.5774e+03 9.7086e+02 0.0000e+00 0.0000e+00
4.5607e-02 8.4004e+03 1.3685e+02 -2.9986e+01 1.7360e+04 8.8159e+03 1.0840e+02 7.8788e+02 2.7467e+02 -4.0301e+01 -1.4110e+01 1.5475e+03 9.5187e+02 0.0000e+00 0.0000e+00
4.7478e-02 8.1039e+03 1.3977e+02 -2.9471e+01 1.6787e+04 8.5332e+03 1.1536e+02 7.8416e+02 2.8820e+02 -4.4218e+01 -1.6115e+01 1.5168e+03 9.3271e+02 0.0000e+00 0.0000e+00
4.9426e-02 7.8356e+03 1.4292e+02 -2.8995e+01 1.6272e+04 8.2802e+03 1.2263e+02 7.8021e+02 3.0212e+02 -4.8362e+01 -1.8253e+01 1.4855e+03 9.1342e+02 0.0000e+00 0.0000e+00
5.1454e-02 7.5913e+03 1.4629e+02 -2.8527e+01 1.5804e+04 8.0541e+03 1.3027e+02 7.7601e+02 3.1646e+02 -5.2750e+01 -2.0535e+01 1.4534e+03 8.9405e+02 0.0000e+00 0.0000e+00
5.3566e-02 7.3659e+03 1.4984e+02 -2.8043e+01 1.5375e+04 7.8498e+03 1.3833e+02 7.7157e+02 3.3124e+02 -5.7393e+01 -2.2966e+01 1.4207e+03 8.7465e+02 0.0000e+00 0.0000e+00
5.5763e-02 7.1533e+03 1.5346e+02 -2.7510e+01 1.4975e+04 7.6595e+03 1.4686e+02 7.6686e+02 3.4648e+02 -6.2290e+01 -2.5546e+01 1.3874e+03 8.5525e+02 0.0000e+00 0.0000e+00
5.8051e-02 6.9469e+03 1.5701e+02 -2.6866e+01 1.4589e+04 7.4749e+03 1.5589e+02 7.6187e+02 3.6219e+02 -6.7427e+01 -2.8264e+01 1.3536e+03 8.3588e+02 0.0000e+00 0.0000e+00
6.0433e-02 6.7403e+03 1.6034e+02 -2.6054e+01 1.4200e+04 7.2879e+03 1.6544e+02 7.5660e+02 3.7835e+02 -7.2772e+01 -3.1102e+01 1.3195e+03 8.1658e+02 0.0000e+00 0.0000e+00
6.2913e-02 6.5258e+03 1.6321e+02 -2.5012e+01 1.3794e+04 7.0914e+03 1.7553e+02 7.5104e+02 3.9492e+02 -7.8271e+01 -3.4028e+01 1.2851e+03 7.9736e+02 0.0000e+00 0.0000e+00
6.5494e-02 6.2939e+03 1.6535e+02 -2.3676e+01 1.3356e+04 6.8798e+03 1.8609e+02 7.4518e+02 4.1179e+02 -8.3853e+01 -3.7001e+01 1.2505e+03 7.7822e+02 0.0000e+00 0.0000e+00
6.8181e-02 6.0391e+03 1.6662e+02 -2.1966e+01 1.2866e+04 6.6487e+03 1.9705e+02 7.3900e+02 4.2885e+02 -8.9431e+01 -3.9972e+01 1.2159e+03 7.5918e+02 0.0000e+00 0.0000e+00
